Question No.,Name,Title Link,Basic Idea
904,Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets/,"1. Scan through blocks of tree, O(n) and O(n)<br>2. Mainten a sliding window with start and curr point, O(n) and O(n)."
905,Sort Array By Parity,https://leetcode.com/problems/sort-array-by-parity/,"1. Sort with condition, O(nlogn) and O(1)<br>2. Scan all and split odd and even number into different array, O(n) and O(n)<br>3. In place swap similar to quick sort, O(n) and O(1)"
922,Sort Array By Parity II,https://leetcode.com/problems/sort-array-by-parity-ii/,"1. Place odd and even number in odd and even place, not sort is needed. O(n) and O(1)<br>2. Two points with quick sort swap idea, O(n) and O(1)."
929,Unique Email Addresses,https://leetcode.com/problems/unique-email-addresses/,String handle and hash (or set)
933,Number of Recent Calls,https://leetcode.com/problems/number-of-recent-calls/,"Queue, remove val in head when val < t - 3000, O(n) and O(n)"
937,Reorder Log Files,https://leetcode.com/problems/reorder-log-files/,"1. Comstom Sort, O(nlogn) and O(1)<br>2. Separete letter logs and digit logs, then sort letter logs and merge with digit logs, O(nlogn) and O(n)"
945,Minimum Increment to Make Array Unique,https://leetcode.com/problems/minimum-increment-to-make-array-unique/,"Sort, then list duplicate and missing value in sorted list. O(nlgn) and O(n)"
946,Validate Stack Sequences,https://leetcode.com/problems/validate-stack-sequences/,Add a stack named inStack to help going through pushed and popped. O(n) and O(n)
953,Verifying an Alien Dictionary,https://leetcode.com/contest/weekly-contest-114/problems/verifying-an-alien-dictionary/,"Use hashmap to store index of each value, then create a comparator based on this index, O(n) and O(n)"
954,Array of Doubled Pairs,https://leetcode.com/contest/weekly-contest-114/problems/array-of-doubled-pairs/,"Sort, then use hashmap to store the frequency of each value. Then, check n, 2 * n in hashmap, O(nlogn) and O(n)"
961,N-Repeated Element in Size 2N Array,https://leetcode.com/problems/n-repeated-element-in-size-2n-array/submissions/,"Hash and count number, O(n) and O(n)"
962,Maximum Width Ramp,https://leetcode.com/problems/maximum-width-ramp/,"1. Sort index by value, then transfer problem into finding max gap between index, O(nlogn) and O(1)<br>2. Binary Search for candicates, O(nlogn) and O(n)"
977,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,"1. Sort, O(nlogn) and O(n)<br>2. Two point, O(n) and O(n)"
